feature,gain
ohe__CodArticulo_00000007209,0.0
ohe__CodArticulo_00000007208,0.0
ohe__CodArticulo_00000007207,0.0
ohe__CodArticulo_00000007206,0.0
ohe__CodArticulo_00000007205,0.0
ohe__CodArticulo_00000007204,0.0
ohe__CodArticulo_00000007201,0.0
ohe__CodArticulo_00000007200,0.0
ohe__CodArticulo_00000007198,0.0
ohe__CodArticulo_00000007197,0.0
ohe__CodArticulo_00000007196,0.0
ohe__CodArticulo_00000007195,0.0
ohe__CodArticulo_00000007194,0.0
ohe__CodArticulo_00000007193,0.0
ohe__CodArticulo_00000002422,0.0
ohe__CodArticulo_00000002421,0.0
ohe__CodArticulo_00000002910,0.0
ohe__CodArticulo_00000002903,0.0
ohe__CodArticulo_00000002874,0.0
ohe__CodArticulo_00000002861,0.0
ohe__CodArticulo_00000002835,0.0
ohe__CodArticulo_00000002832,0.0
ohe__CodArticulo_00000002830,0.0
ohe__CodArticulo_00000002653,0.0
ohe__CodArticulo_00000002652,0.0
ohe__CodArticulo_00000002633,0.0
ohe__CodArticulo_00000002632,0.0
ohe__CodArticulo_00000002631,0.0
ohe__CodArticulo_00000002630,0.0
ohe__CodArticulo_00000002629,0.0
ohe__CodArticulo_00000007183,0.0
ohe__CodArticulo_00000007146,0.0
ohe__CodArticulo_00000007286,0.0
ohe__CodArticulo_00000007281,0.0
ohe__CodArticulo_00000007279,0.0
ohe__CodArticulo_00000007278,0.0
ohe__CodArticulo_00000007225,0.0
ohe__CodArticulo_00000007224,0.0
ohe__CodArticulo_00000007223,0.0
ohe__CodArticulo_00000007222,0.0
ohe__CodArticulo_00000007221,0.0
ohe__CodArticulo_00000007219,0.0
ohe__CodArticulo_00000007218,0.0
ohe__CodArticulo_00000007217,0.0
ohe__CodArticulo_00000007216,0.0
ohe__CodArticulo_00000007212,0.0
ohe__CodArticulo_00000007210,0.0
ohe__CodArticulo_00000007455,0.0
ohe__CodArticulo_00000007453,0.0
ohe__CodArticulo_00000007452,0.0
ohe__CodArticulo_00000007445,0.0
ohe__CodArticulo_00000007444,0.0
ohe__CodArticulo_00000007443,0.0
ohe__CodArticulo_00000007442,0.0
ohe__CodArticulo_00000007439,0.0
ohe__CodArticulo_00000007433,0.0
ohe__CodArticulo_00000007432,0.0
ohe__CodArticulo_00000007424,0.0
ohe__CodArticulo_00000007423,0.0
ohe__CodArticulo_00000007408,0.0
ohe__CodArticulo_00000007374,0.0
ohe__CodArticulo_00000007349,0.0
ohe__CodArticulo_00000007346,0.0
ohe__CodArticulo_00000007545,0.0
ohe__CodArticulo_00000007544,0.0
ohe__CodArticulo_00000007542,0.0
ohe__CodArticulo_00000007540,0.0
ohe__CodArticulo_00000007539,0.0
ohe__CodArticulo_00000007538,0.0
ohe__CodArticulo_00000007537,0.0
ohe__CodArticulo_00000007536,0.0
ohe__CodArticulo_00000007535,0.0
ohe__CodArticulo_00000007534,0.0
ohe__CodArticulo_00000007533,0.0
ohe__CodArticulo_00000007460,0.0
ohe__CodArticulo_00000007459,0.0
ohe__CodArticulo_00000007458,0.0
ohe__CodArticulo_00000007457,0.0
ohe__CodArticulo_00000007456,0.0
ohe__CodArticulo_00000007645,0.0
ohe__CodArticulo_00000007637,0.0
ohe__CodArticulo_00000007636,0.0
ohe__CodArticulo_00000007635,0.0
ohe__CodArticulo_00000007619,0.0
ohe__CodArticulo_00000007618,0.0
ohe__CodArticulo_00000007616,0.0
ohe__CodArticulo_00000007575,0.0
ohe__CodArticulo_00000007568,0.0
ohe__CodArticulo_00000007567,0.0
ohe__CodArticulo_00000007557,0.0
ohe__CodArticulo_00000007554,0.0
ohe__CodArticulo_00000007553,0.0
ohe__CodArticulo_00000007547,0.0
ohe__CodArticulo_00000007546,0.0
ohe__CodArticulo_00000007907,0.0
ohe__CodArticulo_00000007851,0.0
ohe__CodArticulo_00000007845,0.0
ohe__CodArticulo_00000007817,0.0
ohe__CodArticulo_00000007815,0.0
ohe__CodArticulo_00000007814,0.0
ohe__CodArticulo_00000007811,0.0
ohe__CodArticulo_00000007757,0.0
ohe__CodArticulo_00000007737,0.0
ohe__CodArticulo_00000007675,0.0
ohe__CodArticulo_00000007674,0.0
ohe__CodArticulo_00000007673,0.0
ohe__CodArticulo_00000007672,0.0
ohe__CodArticulo_00000007651,0.0
ohe__CodArticulo_00000008131,0.0
ohe__CodArticulo_00000008129,0.0
ohe__CodArticulo_00000008113,0.0
ohe__CodArticulo_00000008107,0.0
ohe__CodArticulo_00000008089,0.0
ohe__CodArticulo_00000008088,0.0
ohe__CodArticulo_00000008062,0.0
ohe__CodArticulo_00000008056,0.0
ohe__CodArticulo_00000007989,0.0
ohe__CodArticulo_00000007981,0.0
ohe__CodArticulo_00000007980,0.0
ohe__CodArticulo_00000007952,0.0
ohe__CodArticulo_00000007950,0.0
ohe__CodArticulo_00000007948,0.0
ohe__CodArticulo_00000007944,0.0
ohe__CodArticulo_00000007908,0.0
ohe__CodArticulo_00000008364,0.0
ohe__CodArticulo_00000008363,0.0
ohe__CodArticulo_00000008356,0.0
ohe__CodArticulo_00000008355,0.0
ohe__CodArticulo_00000008348,0.0
ohe__CodArticulo_00000008346,0.0
ohe__CodArticulo_00000008342,0.0
ohe__CodArticulo_00000008330,0.0
ohe__CodArticulo_00000008145,0.0
ohe__CodArticulo_00000008143,0.0
ohe__CodArticulo_00000008142,0.0
ohe__CodArticulo_00000008138,0.0
ohe__CodArticulo_00000008137,0.0
